,clean_text
24,every bank company head chowkidhar protect the institution fear modi chowkidar tsunami making all the opposition frenzy had the bank chowkidar performed duty well then mallaya nirav modi wouldnt have lootedsonia looted bcoz mms was weak chowkidar
25,people india are fed the incompetency modi govt their blatant misuse power rampant corruption misgovernance and overt lies have damaged the country
26,modi government against corruption mob worried protect their loot will send behind bars comes the dreams looters including kejriwal 
27,mere bhai mai bhi 2010 graduate hucongress kon rojgaar faila rakha thabhai chor hai only bjp only modi for strong nation
28,dont judge modi and his band fake chowkidhars who are bloodthirsty and hate mongers they have talibanized the indian mindsets 
29,cow please fight elections for graffiti mocking modi appears bjp fails find candidates bengal 
30,what about halala whr whole family fucks poor woman den physically and mentally handicap kids are born out due genetic depression dont worry abt progress through time think abt religion still 7th century mindset
31,achhe din vikas black money jobs the only thing found post2014 new india ➡ modi lies 
32,when will see your tweet for justice for you are blind fear modi rss bjp
33,why not ask them vote for modern india modi why let even single vote waste make nda stronger centre nota
34,modi will endup mad manlike hitler mussolini pinochet nero stalin
35,voting for non bjp parties would take country into forever underdeveloped these corrupt would forever spoil future next gen vote for modi alone 
36,malnutrition india and constituencies among worst affected mallikarjun kharge’ gulbarga fared worst malnutrition indicators among highprofile constituencies thiruvananthapuram best 
37,where your hunainty when mulsim are being killed india kashmir now your humanity awaken our gov have taken action already dont worry its not modi sarkar
38,not alone evks once asked what amma and modi were doing hotel for mins didnt even have respect for their age this due the arrogance that comes from knowing the media under their control and they will never scrutinised like others
39,“cow please fight elections for ” graffiti mocking modi appears bjp fails find candidates bengal 
40,vote for educated decent leaders dont for corrupt criminals yaar you always speak against 
41,sorry doc people didnt buy his dream but the convenient avenue offered lynchers castiest and religious bigots dont think indians dream for their imagination they are already above someone caste hierarchy and thats all they want 
42,chowkidhar only for rich men did you see any chowkidhar gaurding poor house but you can find chowkidhar nirav modi house lalit modi house mallaya house
43,only rahul gandhis politics love can defeat the modi politics hate its time vote for love over hate 
44,reason for demonetization primarily detection black money stoppage terrorism after failure changed reason digital india even that failed too now curious see what modijaitley cooks after failure merger decision 
45,prior modi govt took over poor people didnt access toilet crores women used cook lighting wood crore poor were left out banking sector18000 villages didnt electricity modi govt changed all this crores poor including muslims have benefitted
46,isn’ modi’ majoritarian hate based politics and his obsession with hindu nationalism that divides our plural nation enough reason determine your vote 
47,modi govt’ efforts bear fruits malnutrition india down years 
48,why picked chairman the devious aadhaar isnt his babyhe was just the face given upa2 during its term for aadhaar poised for return now chairing committee formed during modi govt with report due shortly after the next govt 
49,such ppl the reasonour and his family face filthy words from opposition sensitive time elections they must shut their mouth work more public grievances but inko fark kye padta hai gaali dain bhukte modi
50,one the comment from hardcore modi bhakt when shared postcard editor was arrested for sharing fake news now know why postcard editor was arrested becuz was speaking the truth was proindia liers how long will your lie sustain truth out the open
51,when someone asks random question economy schemesyojanas adaniambani modi dhruv tatti 
52,"modi govts slashing indias education budget clear indicator that they dont care for indias future
congress president shri the other hand has ensured the increase the budget gdp
this the future india deserves"
53,let state govt handle law and order why drag modi resolve street fights 
54,"indias rank the world happiness index out 159 countries the modi years
2013 rank 111
2014 rank 118
2017 rank 122
2018 rank 133
2019 rank 140 "
55,the country needs this fascist modi cant allowed continue loot indians need govt under that will work for common man
56,congress has always attempted empower people giving right information work food education modi ruthlessly snatched away these rights 
57,renee  absolutely right about ndtv everything truth which have written about also like zee news coz whatever shows shows fact wont false say ndtv antimodi chennai  jai hind jai bharat 
58,asshole bahujan radical marxist grow brain knowunderstand that congress bjp represent the same fucking caste oppressors that your ilk wasnt dalitbahujanadivasis who have ruled this country for the past years and ask chowkidar modi 
59,growth story indian economy during modi regime reflects serious concerns gst collections below the estimated target investment fell year low last quarter unemployment rate year high indias rank down 140 happiness index report 
60,bjps chanakya work this very ruthless attitude the modishah duo ❤
61,cji ban elecation and paper currency when there was independence only years lease signed fake queens victoria and elizabeth and her mafia govt fake pms nehru fake chaiwal modi and amit shah scams nuclear and rafale and demonetisation looted wwi mahabharat 
62,just like fake gandhi’ fake modi’ will there
63,will not wear heart while vote this timechances heart failure
64,modi bjp indians never played any victim card the called lsl who choose fool people the name journalism liberalism play this card see digested when called intolerant you all still talking butcher called cattel class
65,idiot ever heard the russian sukhoi mki the best jet iaf has its fleet currently built indigenously hal for our air force farzi deshbhakts like you wont even hesitate shit our own company defend your baap modi pathetic
66,this time blind faith modi… absolute hate for congress milind deora elections news the indian express 
67,modi the countryhe worked chaiwala not chowkidarbut thanks the corrupt fraudulent activities etc had take the avatar
68,congress will simplify the gabbar singh tax implemented modi government implement actual single slab gst benefit the medium and small businesses which have been destroyed gabbar singh tax 
69,modi the countryhe worked chaiwala not chowkidarbut thanks the corrupt fraudulent activities etc had take the avatar 
70,dirty politics start and doo whatever can too against modi papu raffles raffles fail chokdar chor chor chor chor chor machyee soor aur abb apne ristdaar mare hai 300 proof chayee 
71,and hope hindustan will over take all other countries the field scientific technology coming days possible modi there for another 1015 yrs jai hind 
72,you think was modi behind that accident
73,"since 201516 inc insisted with single standard rate capped 
but arrogant modi sarkar destroyed msmes for yrs with the worlds most complicated with rates 1000 modifications
"
74,"fyi late kuldip nayar writes his book titled leaders and icons
from jinnah modi that indira gandhi was insistent cremating shastri allahabd but lalita shstri threatened fast onto death was not buried raj ghat with jai jawan jai kisan inscription"
75,intentions clearly not correct javed akhtar ‘modi’ credit 
76,"has stolen 15k and given nirav modi
such shame that you recover your personal loss cheating your customers fraud bank
please not open any accounts with these thieves
pnb the worst bank india
shame"
77,modi govt came power late may 2014 sanjay jhaji admitting and accepting the fact that last two years upa govt were bad that people lost jobs
78,boss you have expressed your views several times over the past few months with heavy heartbut vote with the same heart jara heart halka karo
79,you can through the subject female dietyit shows how dominant females areso point rights when already are dominant rest the misogynistic crap cooked chauvinistic males 
80,renowned lyricist not happy with the clarificationclick here know why  
81,please vote which below made your life miserable under modi govt 
82,why cant write one single tweet without blaming modi
83,and that would modi seriously
84,"modi real other fake
"
85,raghuram rajan sent list high profile bank fraudsters modi early months his office and thereafter some reminders but modi failed act and why narendra modis campaign sheer hypocrisy 
86,"tag this fast growing youtuber cared abt this country thatacc him modi destroying democracyhe blind folded other politicians looks good bad bad good
sarcasm"
87,dnt turn pakistan into india like situation where millions muslims got killed terrorist modi
88,since modi came power why always feel that rahul gandhi always mute mean just cant hear him 
89,poor kejriwal himself predicts modi rule till eternity getting nightmares which sees modi sitting diamond studded golden throne and crying and begging front him after awakening sees himself begging front shiela dikshit
90,and even print this seriously whats this election modi entire opposition whats their agenda only defeat modi there noone saying anything about nation for 
91,see the language chowkidar who are tweeting bhi sab you are bjp problem support modi amit sha but dont use bad laughing the culture rss
92,dont live denial under modi economy doldrums and jobless growth making the nation edgy agrarian crisis has worsened national security under question after massive intelligence failure pulwama attack embrace change with 
93,you ppl deserve bjp modi alway negative for nonsense things about opposition shouting master stroke for every idiotic idea bjp does ‍♂️
94,airstrikes bhakt modi says ‘had rafale been there the results would’ been different’ true wah modiji wah isn’ that insulting heroes like abhinandan doesn’ that mean the govt has failed this time bhakt you antinational bhaago chale pakistan 
95,soon new elected this rascal racist extremist murderer should behind the bars modi selected worst 
96,"modi never declared chowkidar for pulwama
theft dataexpert data fudginggdp unemployment including design templates fake degree certificates only declared chowkidar for bjp funds collected thru electoral bonds"
97,adani upadhyay later middle man who introduced adani modi long back 
98,anti trying use facts and logic sway the masses are way off base because the electoral base swayed and hatred minorities 
99,gujrat model failure and modi lied 
100,that your ego because you are not ready accept the failures modi
101,some ppl gone crazy after modi came 
102,why modi have not held single press conference why can’ speak and answer the questions why only false speeches public conference this not what looking forward our prime minister  
103,"dear beti sapna bjp mla gave stupid remarkson seeing you joined chor cong party you did much effortsdid much for yourfamily one thing sharing with youif you contest elections with modi bjp much bettersuggested you like
fathergood wishes regards"
104,can you please verify this tweet claiming bjp leaders forced nirav modi flee india 
105,the arrest nirav modi and the rule law 
106,deserves punishment for his hate speeches 
107,gaali politics returns now andhra pradesh chandrababu naidu calls narendra modi quotdemonquot looks demon for all corrupt gaddar netas
108,hahathis salmasabrina with flavor and twistsociopath salma says modi govt cares for the rich ignoresrobs the poor sabrina vadri quotes like maos red book quotations 
109,why pakistan crying name modi every day how nations support india airstrike why was not after 2611 why there was electrification thousands villages after independence how indian economy became 6th largest economy world years
110,kamal haasan takes chowkidar modi kamal haasan modi rich mans guard stopping poor people from entering
111,ppl can keep thier name after india god name and then they can say anything thank modi for his polices and his way working how ppl like getting exposed slowly and slowly burkah went kargil and used sattlite phone also and help otherside true tell 
112,"there typical liason mutual benefit between both the modis way which amounts cheating the nation
"
113,dear governorani can you let the people indian how much rbi has has given modi govt during last five years please inform the outcome demonetization amt circulation howmuch 5001000 notes and deposited with rbihow much fake currency detectedbenifit nation 
114,indian movie producers are desperate that they produce narendra modis biopic even before end his career politics now think that taimurs biopic not far 
115,sir one request why bjp candidate contesting from mandya felt very bad that not voting first time from last year voting mandya also have huge modi fans you could have put candidate from mandya
116,rajdeep think 4got that imran not indian never combine cases like dis whenever talk imran dont comparison with modi its becoming stale
117,this time blind faith modi… absolute hate for congress milind deora elections news the indian express via 
118,petrified that modi will remain firmly saddle like gujarat 
119,indias rupee goes from asias worst bestperforming currency just five weeks via 
120,modi rahul firm narratives election crisscross 
121,the modi govt failure what you call the congress govts minus raos the rest them including vajpayees disgrace india
122,not forgiveness terrible irresponsibility immaturity and abdication duty you cant just forgive rapist killer there reason why they are punished larger implication for humanity too btw when forgiving modi for defeating him
123,yes but how people think its modi alone doesnot make any sense bjp has almost alliance partners right now bjp expert setting fake narratives
124,why sir mam shabana azami hate much that have seen criticizing him his govt before this time for tseries contract signed narinder modi film song shamefull
125,"know going into dirty details nehru family itself getting gutter level
nehru cudnt get out edwina indira out mathai yoga mat
mathai writes book dirty mind blame modinow this pervertness hatred has poisoned mind killing logical thinking"
126,chowkidar modi will ensure cases opened with accused get prosecuted all legal hurdle settled for prosecution with illegal money returned govt kitty which ensures windfall revenue govt all crooks are joining together safeguard illegal wealth which modi take
127,suli bele sir felt very bad that this time cannot vote bcz from mandya bjp candidate have modi fans mandya also dont know why candidate contesting from mandya from last yrs have voting and voted bjp elections this time not voting any body
128,called secular leaders will reply like that why the priest was disturbing peace area praising modi praising modi was attack peace loving noora ali priest should arrested charges disturbing peace ्ों ी ै 
129,one see the fake calculation calsi chek kariye modi 
130,the practice sati johar etc gained prominence only after mughal invasions ignore the porki shameless people brutal rapes conversion polygamy halala fgm burqa marrying into their relatives dont waste your time
131,rahul gandhis politics love can defeat the modi politics hate its time vote for love over hate 
132,"one the most hard working minister modi govt
opposition being afraid modi not because his popularity but his works too
they knowif got another 5yrshis initiated project will get completed
thentheir false allegations will vanish under his achievements clouds"
133,opposition always resorted mockery personal attacks communal divide and unhealthy criticisms you have other agenda than remove modi for that very purpose you even allied with arch rival bsp now you are feeling the heat being exposed before people
134,yesjaitleys evaluation modi correct modi suffers from the dunningkrugereffectthat means modi has bias illusory superiority which comes from the inability lowability people recognise their lack ability hrs hard workingchestthumping etc
135,modi comes power again will convert all savarna hindus the reservation for scst will increased chaiwala pakodawala chowkidar nautankibaaz banaoge toh hindus destroy karega chalega
136,after ‘modi removed your name from voter list’ aap allegedly calls people pretending radio channel via 
137,stop bull shitting worry about criminal vivek oberoi playing role feku modi national shame have such movies made
138,guys you don’ have any reason vote then please read and understand this you got reason vote for modi save yourself from this horrible unimaginable nightmare 
139,schopenhauer foretold about renaissance india hindu nation and its influence under modi leadership foretold that its influence would momentous europe when became well known the revival greek and latin culture after the dark ages 
140,govt can not satisfied everyone some failure govt does not mean tht modi did not well for the country 10000 anudeshok not been satisfiedits not mean will against modi who satisfied millions garib family gas connection ayushman etc pls dnt selfish
141,curious case congress porkistan both have similarity when comes burning like hell self affliction far hate modi policy concerned now the pertinent point apna chowkidar kuch sahi kar raha hoga have rattled both the entities 
142,well used the income for his survival and modi make marketing propaganda can you feel the difference
143,modi will remain for next 510 years and till the time opposition get develop strong leader like him their rank and file 
144,opinion here’ why the nri disappointed with modi 2019 there modi madison square and wembley 2019 fact nowhere the horizon now writes read 
145,shame the word unknown modi his cronies pakistan start raising concerns over routine lynchings and torture cases that muslims are suffering india they may keep shut next time but again theyve shame
146,urge all south states india people support all respect with heart mind for modi have lagged behind nation after independence due neta propaganda for religion language local strategycastescreedsregions bias kith kind etc
147,mention must made that the fare hike was the modi govts doing order keep filling their coffers already bloated with blood money ill gotten gains despite vociferous protestations from the delhi govt see gon get sawed now and full paisa vasool entertainment  
148,modi and his bum pals are the kind chowkidars who give chowkidars bad name keep watch while some criminal who has bribed them loots the very people the chowkidars are meant protect
149,yogi adityanath kept every promise made farmers before the 2017 state elections modi interacts with everyone through mann baat sushma swaraj humble and approachable everyone you only talk about rahul this the difference 
150,why modi sarkar running away not answering the questions raised the claims 250 300 350 killings during balakot attack why dont answer clear the doubts why hiding behind pseudonationalism credibility crises 
151,bhadrak bhandaripokhari and bhadrak they are loosing elections row still they are getting tickets new face they were imported from congress but unable take the advantage modi wave
152,and think modi representative hindus sorry der difference between normal hindu and chutia hindusbhajpaisanghi
153,"imagine your house fire and you are allowed take just one thing what will you take bagga tshirts
yeddyurappa diary
shekhar gupta fence
modi ill inside and take nehru who set the fire"
154,here’ why the nri disappointed with modi 2019 there modi madison square and wembley 2019 fact nowhere the horizon now writes 
155,awareness the key make any scheme successfulmodi govt succeeded this this govt schemes reached door door even remote areashuge public got benefitted because awareness
156,modi asking cow contest lok sabha election 2019 
157,why vote modi dynasty visionary 3no high level corruption 4solid team changing base though will take time more time will give result congress will loot knowing well chance again internalexternal security 910 nationalism
158,"dont worry about but got free time out delusional media try get glimpse debt gdp ratio btw modi cant fake other institutes data you were caught faking govt and industrial data
china got trillion economy and fake data hot trillion"
159,yes but not selling country terrorist likewise congress president doing how many propaganda all corrupt selfish political leaders can create reality ground shows modi will yours and mine all thieves must worried
160,modi failed fulfill his promise ₹ lakh every individual but created epic misadventures like demonetization contrast congress president ensured farmers loan waiver all states promised during polls 
161,"momota begum will let her state become total shithole than let anyone else bring development and hog limelight
and dont just mean modi"
162,last time the narrative was modi becomes then country wide riots will break outthey want keep the people khauff for not voting for modi
163,this guy could not sustain lie beyond third sentence his tweet the succeeding govt carries the momentum the previous government how does modi govt gets credit convoluted argument second upa govt squandering
164,another section started collecting stats and then showing trend that cow related violent incidents spiked under modis watch its similar award wapsi that happened due rising intolerance these are movements created certain sections peddle their agenda 
165,modi has merely renamed out congress schemes 
166,disappointed with teaser where vivek oberoi friend huh accha yeh modi biopic nahin hai
167,"finally are seeing the results its being correct the shape modi violence against muslims
second now impossible because israel why india acknowledged israel"
168,"not huge resulting bloodshed there will protests bjp will have prevent anarchy any cost there will slow but incessant hammering
let pseudos talking will keep laughing"
169,"modi hater
modi liar
modi not secular living this country since modi govt came into the power and living delhi well
when did all happen when people started each other and why this nowhe wasnt even power"
170,how narendra modi has almost killed the indian media 
171,still majority people still believe fake news open your people dynasty politics vena
172,always wondered why harbhajan opened saloon chandigarh while getting haircut today नऊआ always tried engage conversation and landed modi his misfortune conclusions demonetization had minimal effect him has regular gas con
173,condoles loss lives due bus accident maharashtra 
174,the last years modi has donned hats star salesman few industrialists bjp star campaigner india the duration success failure each role will vary depending whether you are liberal bhakth
175,jds mla shivaling gowda karnataka said break the jaws those who are coming here and calling modimodi slogans gowda always think before you speak respect your seniors don’ destroy the respect politics save democracy save india 
176,poor chap modi hasn’ given him anything can offer the voters how long can you keep saying pakistan pakistan 
177,pak has dropped two indian pilots his territory one has been released pak and where second one bhagwa traitors modi media asking about missing pilots shame
178,humbly requested all awarded citizen spread awareness amongst all slums dwelling and down strata population that loksabha plz vote for modi and ensure single seat should this maleficent alliancethe alliance sheer mockery and downfall ethics polity
179,after modi removed your name from voter list aap allegedly calls people ask who they will vote for pretending radio channel 
180,this all news are propaganda modi went see even manohar parlekar body for blessings and modi forced manohar defence minister which was given sitaraman jinin 2017
181,will leave this country after few years just like neerav modi
182,"kuch kaam bhi kar liya hota four years modi govt spent over 4300 crore publicity rti shows
"
183,seriously must have sick mind call small kid roiteer how get that thought hating modi fine but extent that use derogatory words against innocent kid appalling only wish eashwar aapko saddbuddhi get well soon
184,its modi chor corrupt maha thugbandhan janta with modi 
185,never said any comment that there was role pak its about intelligence failure leading attack upa ministers left their post after 2008 mumbai attack bcoz they failed what did modi did asked entire country chowkidar what abt rdx isnt that 
186,modi uneducated has never held single press conference you know this does not like answer questions thinks bigger than his country and his people but mently poor dont know him
187,green underwear missing ive been doubting isi all this while but now got text from raga modi sold that ambani 
188,"nor congress nor rahul declared any vision for india years have been wasted congress only vision declared modi hatao
listen this video "
189,"wrong assumptions made letter
being modi fan does not mean muslim hater hindu rashtra secular india does not mean xtians muslims will become 2nd class citizens modi supporters are not pro lynchings hate crimes punish perpetrators both ends"
190,yes they fcuked mmrca procurement yes their socialism was the bane modern india pvnr freed upa were much less socialist and they are yardstick for comparison with nda modi less socialist than indira btw
191,raghuram rajan sent list high profile bank fraudsters modi early months his office and thereafter some reminders but modi failed act and why also not thug but claiming chowkidaar
192,1960s lal bahadur shatri resigned because train accident and that was mistake line men since could not give signal time but 2002 there were 1000 killed but still modis did not give resign but atal bihari vajpaye wanted him resign ciz modi power lusty
193,malnutrition india narendra modi and rahul gandhi’ constituencies are among the worst affected via 
194,you forgot one more cruel incident happened kashmir did made any comments like this the same hope havent could that cruelty cowards cant used against modi right
195,here’ why the nri disappointed with modi 2019 via 
196,sir impress voters the elections between trskedikcr ap5crsncbn not between ycp jsp jagan musugu remove cheste kcr unttadu kcr musugu remove chesete chormodi unttadu brought voters they votes ycpjsp 5crs will not get krishnagodavarione lakh due
197,seventeen years long time learn one completes school bachelor’ and master’ that time but from 2002 2019 the congress party has learnt little editor chief argues the ways congress has walked into modi trap 
198,supposed susu swamy influence 2014 was much that thought modi should eternally grateful him for being elected and make him pseudo reality strikes enters independent supported the bjp 2019 has become irrelevant and inconsequential
199,india was 1st large country upgraded since 200708 would have been very bad shape years come was not modi who won 2014 are growing fast rate like never and our future secure only gets reelected
200,bjp lacks boldness such concerns didnt bother when she released terrorist from jail within hours assuming office
201,correction modi has disgraced the office regularly over past years now the time vote him out 
202,modi sold his suit lot stuff received gifts from other nations auction donated the money ganga project but doesnt have the skills sell india like rest the from nehru mouni singh
203,few days back they stole song and now this anyways bjp modi proved the tag line 
204,has congress resign for 1984 1990 modi has clearly said you find wrong hang public place
205,the context the elections and kind cold shouldering with modi has negative context
206,the storyteller has broken the emotional barrier between the ruler and the ruled writes 
207,remember how modi sold fuel inflated prices for four years and keep raising excise duty crude slump how wanted lock 136 crore indians aadhaar this jobless growth farmer distress demonetization that destroyed business with 
208,you are sitting ontario and predicting fantasies rotfl whether like not nobody buying the shit modi selling anymore apart from few backward states the north people are not buying cowcommunal crap wish you luck 
209,his comments disgusting but always wrong agian this probably thats why did friendly interviews with her its modi who has faced more personal abuse directed and led mrs gandhi herself followed her son her party her ilk and left lib journalist
210,"exactly point those who reach positions power are too paranoud about upsetting the applecart
only those with unconditional islamic support base show the raw guts act thats why khanchris also preffers islamic support its not merit based support"
211,know why you willpapu his chamchas nothing target modi thats why now they desprate and targeting him for his suitsdont you know bitch chacha nehru coats where dry cleaned london someone talk with facts than papu his chamchas will run from that topic
212,"jawans killed the border
crimes against women all time high
forget jobs even the data jobs doesnt exist
economy lowest has always been
adani getting tax cuts modi selling tshirts
state india 2019 "
213,perception makes fool some call “foreign investment” others call “selling our company foreigners” modi calls former baba ramdev calls later both know they are making ppl fool foolish ppl clap for both jai hind 
214,"
major sources corruption were middlemen between the disbursal govt resources and the end beneficiary modi govt has solved this transfering the benefits directly the bank account beneficiaries thus reaching poorest poor
via namo app"
215,"country has given years the congress all know what has happened what has not happened for the country
therefore have given years ordinary citizen this country feel should give years "
216,congress party whose polls show closing lead the election due may said the job report showed national disaster economy has been expanding percent plus annually but uneven growth meant not enough new jobs keep pace 
217,agree such idiots the biggest curse for modi and bjp hope such dolts removed 
218,lost bargarh kalahandi even before election may wrong idea about the ground reality about bjp modi coming kalahandi jeypore 29th march 1st april
219,stop this pitting bjp the largest party the world not like pdp only faltu lalkaro maatthere pan national vision modiji which you fail understand
220,bogus story kejriwal who doesn’ not know the history the indian politics during emergency also said that indira will not hold elections but election commission did hold elections and indira lost indira can loose who modi 
221,"kejriwal and can anything under the son hats off the creative dirty tricks
"
222,modi has wiped out the small micro industries india with the demonitisation indian enterprise the small micro industry section
223,bjp struggles find candidates west bengal graffiti shows modi asking cow contest 
224,modis opposition trying defame him they not want succeed indiaabusing mister prime minister worst formbut spite all modi going win
225,sir impress voters tdpncbn not worry jagankcr jsppawan request voters kedikcrchormodi intention avoid one lakh crs due krishnagodavari waters 5crsap tell the voters 4yrs tdp with bjpmodi get funds only after realise modi against cameout
226,milind deora this time blind faith modi… absolute hate for congress 
227,lists out achievements modi govt also which are substantial has some valid points criticism couple not valid points then uses false narrative majoritarianism justify nota when bjp actually pursuing and worked too 
228,"well killing cockroaches who makws dirty our home necessary
btw imran called and said yes india killed our 300 terrorists and told modi hope you got the answer "
229,dear all tsunami favour modi 2019 coming from all corner from within india and from our nri community living abroad because all firmly believe modi the only solutions take india new heights future belongs modi once again 2019
230,false promises bounced back modis head 
231,stop saying like that you dirty paid media mafias see here how your chowkidar modi hobnobs with miya imran look before you leap 
232,even possible for you criticise pakistan aur previous government opposition without including modi possible 
233,any other work mumbaiwho hell shout like dogbe like modi than dream for biopic
234,sad jees team zombies shouldve said theyre calling from raita channel instead radio channel 
235,this daft donkey’ dick aap was born the iac movt that was set vivekananda fdn ram madhav doval its board haramdev kiran bedi iac are bjp hazare was useful idiot kejri refused modi’ bitch thus bjp went after him via the 
236,narender modi think the candidate who standing from regions winning from both reagions elacting should cancel the candidate who rank should declare the winer instate election save the public money rajsh tejwani
237,"
cong➡ chor party modi➡gareeb lal ↪says farmer frm ↪also says clueless abt poverty farmers livid coz
cong failed 2fulfill
farm loan waiver sowas congs flw promise
just bait votes "
238,please dont forget remove fakendra modis corrupt fake and failure government 
239,the last years the economist led upaii were economically disastrous that capitaloutput ratio reached high 201213 making indian economy very inefficient read here know how improved under the modi government 
240,this movie shows the life histiry narendra modi not any propaganda against some community like the film hitler did against jews
241,you are the stupid the core and doubt that about anil ambani who took him france and made deal with dassault without and modi the cowkidarof anil about the escaping nirav etc they all ran away with the help the government after receiving lookout ntce
242,yourself big moron people saying about defence corruption arms deal land deals tax evasion all true but all lies modi false keep licking sucking gandhis else die with starvation 
243,serious threat political slogan for modi 
244,enough mongering take steps like they are the worst faith race the worldtry keeping weapon your house walk the streets threaten ppl you will not are built diffrently 2014 has been break through then 201924 will trail blazer
245,passed expected from modi government 
246,the year high unemployment data from nsso not cmie out ideas seems proof failure namumkin mumkin hai and modi hai mumkin hai
247,one step time navigating thru looteyns when every institution stacked against modi not easy many ordinary mortals would have given and joined them all the things will happen due course time
248,destroying the forest  for mining cole vaa modi vaa
249,ungrateful fakendra modi chor hai please dont forget remove fakendra modis corrupt fake and failure government 
250,called his mother jersey cow and him hybrid calf what you expect back modi has single handedly dragged down the level political discourse india
251,what about karnataka its not just congress but bjp also backed minelooters and corrupt ppl modi must look after and keep away from party
252,modi government changed the lifestyle common man sat sharma via speaks
253,sir untill unless use bad words modi will not come fame
254,modi fake brandfake smart city fake chokidar everything imaginary illusive
255,"
according law karma vindictive people who out their way hurt others will end broke and alone mrmodi wanted use congress schemes proxy for his own incompetent treacheries heres how even failed article"
256,they hate modi but not from their heart like you 
257,rafale paper stolen the bodies 250 terrorists killed balakot stolen lakhs our account stolen modis degree certificates stolen modis marriage certificate stolen brain bjp supporters stolen 
258,opportunistic unholy alliance for grabbing power any cost bsp rivals ever since joined defeat modi without any ideology vision now congress too joins bandwagon only with limited agenda defeat modi people must reject such opportunistic alliance
259,modi again disaster for indiamodi india again blessings pakistan what damage isi couldn’ all these years india modi has done for them vote sensibly vote for india and not for idiot who can destroy the future the country
260,here are 200 reasons vote modi fragile five fastest growing economy india 11th largest 5th largest economy india share world gdp from 243 2014 308 2018 average gdp against previous regime
261,first all this aunty should resignas terrorist killed jawans which doubtdefence minister should out jobinfact even modi who bark very loudly after fake surgical strike that terrorist left all vanished appeal army dont play the hand politicians
262,rajasthan governor shud resignotherwise janhit yachikanot doing costitutional dutydoing prachar criminal modi
263,atleast rahulji donot lie and give jumlas like what narendra modi doingso vote goes rahul for speaking the truth about the nation which under threat and danger because modijis wrong policies voter need save the nation voting favor congress
264,and assuming servants these days rob anyone  fact see statistics the robbery levels have gone due unemployment the last years and also can guarantee that there corruption the govt today since modi leading since years now 
265,ohk there were ghosts who killed sikhs per your knowledge and 2nd when modi gets clean cheat was congress central government and wasn’ government bjp who killed people was religious riots 
266,connected name with surname not bcz religion connecting name with surname common like raga connects nirav modi with namo
267,sir governor rajasthan recently endorsed modi despite holding constitutional chair which expected politically neutral discharge services will gather courage condemn such rhetoric advice them refrain from such acts again
268,how can immature bail pres rahulgandhi take decision this matter when hasnt ever taken any decision being totally incompetent due his lack education knowledge experience understanding anything except mouthing lies and abuses against modi due modifobia
269,but nothing compared comedian who brazenly tweeted modi bmc official demanding bribes regularise his illegal construction but failed provide any evidence jai maha
270,"have tried best write down reasons for modi govt failed 
seriously sorry
but course vote karenge "
271,passed insider info quid pro quo and went jail for comparing rajat gupta with nirav modi dishonest 
