text,sentiment
southwestair traditionally used sledge hammer  low  taking share from driving  now scalpel approach through data science  anamarketers,1.0
southwestair thanks for the info and the quick response,2.0
jetblue great thank you lets hope so could you please notify me if flight 2302 leaves jfk thank you again,2.0
united so you are inadequate by accident,0.0
united coupled with selfservice policiescost cutting exacerbates the noted issues 33,0.0
americanair cant unload flight 3322 because jetway is broken  steps planb waiting nearly an hour,0.0
united did not get namesdallas flight and chicago,1.0
jetblue can we get a honest update on departure of flite 454 been on plane with infant children,0.0
virginamerica lost my luggage 4 days ago on flight vx 112 from lax to iad amp im calling every day no responseplease give me back my stuff,0.0
americanair ahhhh your silence is golden now  this tops it all  anyone get fired,0.0
united landed in boston at 9 last night  the 15 hours of traveling was rough tho,0.0
usairways nice touch with using my first name  very intimate  ill be filing a claim soon to be reimbursed have a us airways day,2.0
united also the mere fact that i have to go online to issue a statement vice calling and talking to some directly is one good example,0.0
jetblue i will thank you,2.0
usairways it was us 893 the gate was open after about 50 mins waiting what a great way to finish an 18 hour delayed arrival,0.0
jetblue flight 705 ewr to fll,1.0
southwestair ive been on hold with customer service for over an hour can you help,0.0
united hey i missed my outbound flight  can i still use my return ticket,1.0
jetblue  alright i hope my jetblue app is showing a change in my seats and online shows an a320  dont want any surprises,1.0
southwestair is there a way to receive a refund on a trip that was cancelled flight online instead of calling your phone lines are super busy,0.0
united thanks makes sense just annoying that it cant be determined better,0.0
usairways you would rather a while plane get exposed to a nasty contagious virus then work wth me to get my flight changed to a late flightr date,0.0
americanair 3127 just landed in lit,1.0
southwestair your gate agent rerouted an impossible itinerary and we had to find a new airline to get us home super bummed about this,0.0
jetblue apparently the pilot had made some announcement about engine trouble and losing fuel too quickly,0.0
virginamerica a brilliant brisk am in boston in cue for vx363 httptcormznivgmg6,1.0
americanair stiiiil waiting please respond as my flight leaves in 2 12 hrs,0.0
southwestair i need to cancelled flight one leg of a flight but cant seem to do this online been on hold on the phone for 10 minutes any help,0.0
americanair cancelled flights my flight doesnt send an email text or call now im stranded in louisville,0.0
jetblue bag is supposedly here in boston,0.0
united does customer care have email or a phone rep that i can speak with we had so many issues they cant be placed in 2000 characters,0.0
united the lounge tells us they have no pillows for my grandma as one of the ladies opens the closet and i see 2 right there unitedlies,0.0
americanair you are beyond redemption jfk baggage claim looks like a luggage warehouse,0.0
virginamerica what is your policy on flying after surgery,1.0
united 1758 now going in 40 min waiting for other plane to vacate gate findanothergate,0.0
americanair that luggage you forgotmiahe just won an oscar,0.0
jetblue im makingloveoutofnothingatall on my brandloveaffair to lax httpstcokdhruf54sw,2.0
southwestair you should have assigned seating because now my cousin amp i probably cant sit together on our flight tomorrow thanks,1.0
usairways my flight cost me just under 800 and this is what happens i fly with united and have no problems i come the us 45 times,0.0
usairways not only did u lose the flight plan now ur flight crew is faa timed out thx for havin us sit on the tarmac for an hr pathetic,0.0
united i was but i have given up,0.0
americanair fyi twice now ive tried the well call you when someone is free thing both times it called i picked up then it hung up,0.0
americanair  so does that mean your other flights going into buffalo from other locations you dont care about their safety,0.0
united 2100 ticket12h biz trvlno wifimissed con fltnext one24hmissed meeting7 food voucherhotel chkout12flt5no wifihotel,0.0
americanair an hour at baggage carousel and still no luggage nail in the coffin,0.0
"americanair airport snow removal method 22
keep up the good work folks this is where cessnas become 747s httptcooumc1lrxdn",2.0
southwestair that would be brighter than all the stars combined on the red carpet tonight,2.0
usairways ive called to resolve my dividend miles issue for a week to no avail  please advise asap,0.0
jetblue shes standing here on her cell no announcements no info thismosaicnothappy,0.0
usairways as the employee responsible for social media content yes u probably do care however the actions from last night say otherwise,0.0
usairways will do ,2.0
americanair and gold status too,1.0
americanair been trying to call all day get hung up on every time your guys are horrible,0.0
southwestair here we go again delayed in chicago why offer the 630 flight if you never intend to fly it,0.0
southwestair 4467 and 152 on 225 and 503 and 25 on 226th,1.0
united haha and you have to clean a plane that was held overnight in a hangar sounds lovely also dont lie on screensand say its weather,0.0
southwestair i was trying to find airfare for my family  your prices are ridiculous  almost 1000 more than usairways notmadeofmoney,0.0
americanair if you could let me know where im staying tonight if youve booked anything that would be great do i have to go to the,1.0
jetblue shannonwoodward ill be checking often most probably when they hand the oscars out to the nerds geeks and badly dressed,1.0
united what you did was illegal and a breach of contract i will be in touch but not through your customer feedback,0.0
united wife and i have two new destinations and im stuck in dc until monday with no bags,0.0
usairways msscottwg  thats unusual means we screwed up but will never admit to it  goingforgreatnessfail,0.0
southwestair why wont you let me leave newark,0.0
americanair yes but should be able to get a push notification via the app if i'm logged in and on a trip emailtext is so 2010 ,0.0
united sat at airport for 5 hrs still sitting at gate  sigh,0.0
southwestair your terry is our hero got my husband back thru security to retrieve cellphone left on plane in austin terry 85832 u rock,2.0
americanair flight 654 delayed  flight 409 you sold my seat  flight 0671 strand me in phx for three hours thanks for the memories ,0.0
virginamerica to jump into the dallasaustin market  dallasnews httptcoewwgi97gdx,1.0
usairways i fly quite a bit and its not difficult to communicate if agents let people know whats happening arrangements can be made,0.0
americanair your message was delayed i just responded,1.0
americanair thats a complete cop out u ask what the issues are then do nothing about it how are we supposed to sort the situation now,0.0
southwestair this experience was the worse flying experience ive ever had to be met w contempt from your customer service makes it worse,0.0
jetblue 162 smf to jfk,2.0
jetblue word thanks,2.0
"""united rikrik what made you come to this can we help you with anything jp"" free tickets  for the i convince ",1.0
united you guys are horrible first we get stuck in the snow for a hr in ewr now sitting in cmh saying it could be 30min for a gate,0.0
united  vacation days relevant ritz in pr for the night 700 losing a day to idiots and sleeping at the newark ramada priceless,0.0
southwestair baggage delivery at bwi very delayed and unnecessarily chaotic disappointing after a long trip from a frequent traveler,0.0
jetblue u suck big donkey balls,0.0
jetblue i flew to san francisco from fort lauderdale with you last year had a fantastic time so would like to go back ,2.0
united please dont take my membership away ,0.0
southwestair any plans to implement a callback system on your reflight booking problems line been on hold for over an hour now,0.0
usairways any plans to support applepay on board i have the usairways mc and it would be nice to still use it if i forget the card,1.0
united do you have bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week,1.0
united trying to check in for tomorrows flight website keeps timing out whats up,0.0
usairways pretty sure we didnt actually take off at 710 httptcovuxf4r4unu,0.0
jetblue try harder take a winners attitude to your work,1.0
united 2nd time in a row  ive been over charged by 100s of  on my plane ticket why united i shouldnt have to check my cc everytime,0.0
"includes kciairport ""southwestair inclement weather may impact scheduled service in reflight booking problems options available httptcokeyrpflhil""",0.0
americanair thanks,2.0
usairways claudoakeshott dont need this link after getting a person u now say u dont know where bags are lost on a nonstop phx to jfk,0.0
usairways very embarrassing,0.0
united if i miss the oscars ill never fly united again,0.0
americanair i would like to be reimbursed for my shuttle from denver after 1080 diversion 6 hours sitting in plane and mech problems,0.0
americanair thanks for the responsetough night for all involved our flight got cancelled flightled as we started taxiing down the runway,0.0
united whats going on with ua 236  outbound flight last thurs was delayed 4hrs how long will this delay be worst2unitedflightsever,0.0
united i would like to know whats going on before his current flight lands,1.0
southwestair are there any current promotionscodes for nashvilledenver thank you,1.0
americanair flights out of dallas on tuesday are not going to be cancelled flightled correct,1.0
southwestair how about some sweet promo code to help me visit my family please lol,1.0
americanair oh i will aa on speed dial,1.0
americanair your service is horrible i cant get a straight answer from your ground agents,0.0
southwestair what is the best credit card to useopen to get miles with yall,1.0
americanair of course you are because thats your companies job you guys failed at it in the first place upgrade me and then well talk,1.0
virginamerica is anyone doing anything there today  website is useless and no one is answering the phone,0.0
is it insulting that usairways americanair offer a non required 50 voucher as a goodwill offeringat least my bag can fly round trip,0.0
united is the worst nonrefundable first class tickets oh because when you select globalfc their system auto selects economy wupgrade,0.0
americanair how do you not do maintenance on md80 while it sits for two days frozen lines found after its boarded come on faail mci,0.0
americanair why did you drop my call why dont you have more people answering phones why is it always high call volume when i call,0.0
southwestair yall the real mvp with these prices,2.0
jetblue if i had my tux itd be a date umosaicmecrazy httptcohap4gbostu,2.0
americanair on feb 15th your rep gave me the record locator and told me id be receiving an email with the itinerary and confirmation,0.0
americanair fantastic thanks will try and tweet a photo of the view ,2.0
usairways fyi your customer service rep carol is an absolute delight so pleasant to with with and rebooked me in lightning speed thanks,2.0
jetblue its always a pleasure ,2.0
virginamerica they told to check with the airline regulation first so that is why i contacted you,1.0
southwestair hot stewardess flipped me off,2.0
usairways were having 2 grandbabies in 2 weeks  will travel to dc for the births thank you for the reasonable fares  see you saturday,2.0
united bag mia since wednesday still no word where it is or if well ever see it again lostluggage frustrated,0.0
jetblue do you have any afternoon flights going from bqn to jfk i only seem to find early morning flights,1.0
americanair thanks  i actually made it my connection flight was delayed  guess all delays are not a bad thing httptcoxggcntco8m,2.0
united stuck in yyz because staff took a break not happy 1k,0.0
united i am appalled at your lack of communication during our awful journey on 221 ewr to bos 4 hr delays need to be explained better,0.0
usairways my flight got cancelled flightled to charlotte been on hold for an hour pls pick up,0.0
americanair such a suprise new vanity kit set for frequent travellers  thank you aa httptcofa7nygn1ux,2.0
united please tell clt flight 4232 needs a gate waiting now for 15 mins,0.0
jetblues ceo battles to appease passengers and wall street  waterbury republican american httptcoffc13zygjs,1.0
jetblue big shoutout to the crews on 2017 bosgtjfk amp 486 jfkgtroc amp gate crews at c19 bos amp 6 jfk long day of delays made better by them,2.0
usairways its not a consolation because my bags are somewhere else which is a real impediment to me going on a different vacation,0.0
usairways delayed my flight 3 times before cancelled flighting it had angry and rude workers and are now providing no helpful service at all,0.0
united bummer might have to go with americanair card instead ty for response though,0.0
americanair flight 236 was great fantastic cabin crew a landing thankyou jfk httptcodrw08djhai,2.0
southwestair flightspots about time mobileboarding is a must,1.0
usairways thehaileytate another blatant lie from usairways,0.0
united ok thanks where are you counters located and how late flight are they open,1.0
usairways  i wouldnt need to wait on hold for 6 hours if your website worked correctly  please respond,0.0
americanair once again flying aa4285 once again 60 min delay because of mechanical issues perhaps you should consider maintenance,0.0
united brian at sfo customer service deserves a raise gave me extra meal voucher and a good joke to cheer me up after flight delay ftw,2.0
southwestair i know one thing delta would never treat their customers like this,0.0
southwestair the pilotsamp crew on flt 3999 and customer service professionals at baggage claim are outstanding thank you,2.0
united  after having to now tag my own bags at the airport i was hoping they would actually arrive with me  heres hoping they arrive,0.0
jetblue ill read this over a nice glass of wine right before i dig my heels into my next novel maybe travel is just what i need,1.0
usairways americanair what a joke of a company today reminded me why i never book with you,0.0
united i locked myself out of my account and needed access to book a flight,0.0
americanair why cancelled flight 1605 on 625 amp 628 flights now 4 hrs longer amp  have layovers too late flight to find a reasonably priced alternative,0.0
jetblue how can your entire system go down no it really,0.0
united oh we are sure its not planned but it occurs absolutely consistently its usually the only yyj flight thats cancelled flightled daily,0.0
southwestair i have never had such awful customer service and conflicting service outrageous,0.0
jetblue my sil bought tix for us to nyc we were told at the gate that her cc was declined supervisor accused us of illegal activity,0.0
jetblue im in a session presented by one of your beloved travelers paulgordonbrowni see why you love him so much httptcovv8cfyhkvb,2.0
united im rebooked on a flight tomorrow even though i had 1st class seat orig i have a lousy coach seat,0.0
united here i was thinking how i could say so many nice things after getting upgraded but then you delayed my flight its ok,0.0
usairways flight 703 philly gt mia bwahahaha delayed 5 hrs were in the air 30 mins then turned back around usairwaysfail,0.0
united i will thanks,2.0
united well this one missed the mark  she was in a snit from the minute i stepped up to the counter,0.0
united thanks for having ground crews that are surprised when flights arrive beingsuckontarmacsucks,0.0
united i am flying from msp to dxb my child will turn 2 during the trip do i have to buy a return ticket for my child,1.0
southwestair thanks   it is good to air on the side of caution,1.0
jetblue airways hits new 12month high at 1758 jblu  wkrb news httptcoxvbjczlmda,1.0
jetblue do bags still fly free or have you started charging thanks,1.0
united dm sent thanks so much for the strong customer service,2.0
united load balancing system apparently down systemwide  major impact on all united airlines flights was this a cyberattack,0.0
usairways between 3 of us it is costing over 1000 to get home today for no reason where do i send my receipts to be reimbursed,0.0
united okay thanks,1.0
united i cant even fit my name on the first two lines yes please do pass on feedback this is a big downgrade from previous years,0.0
americanair who do i need to talk to to get a full refund on my trip your call center offers no assistance,0.0
usairways no more hotel voucher everyone had to get one but not mewhat do i do arrived from amsterdam snowstorm,0.0
americanair she seems a little preoccupied  thats why im bringing it to your attention i am just flagging an issue as an observer,0.0
jetblues new ceo robin hayes battles to appease passengers and wall street  business in savannah httptcokkay8xaps1,1.0
usairways thank you for the apology,1.0
southwestair 44 in horrible customer service empty seats in early flight wantcharge me double to get home early instead the usual late flight,0.0
jetblue love you guys sooooooo much ridiculously appreciated a service,2.0
usairways yes thanks but took forever,0.0
jetblue it seems i never received an id just a password,0.0
united you cause me to miss my flight telling me it already left when it had not no empathy from gate staff or crew no apology really,0.0
usairways i been on hold with u for 40mins wasting my time and  amp i dont appreciate it wheresthecustomerserviceat httptcophi2ifnjit,0.0
usairways why the hell u left alliance and joined 1world is beyond me not a smart move time to start looking at other carriers,0.0
americanair no i watched these bags be abandoned at depart gate watched for gt40 mins until owner returned 20 mins after i reported,0.0
americanair looking for status of flight 1388 schedule for 515 am tomorrow morning thank you,1.0
usairways  you make the reservation well make the excuses usairwaysfail,0.0
americanair i got a new reservation for tomorrow thanks,2.0
usairways it doesnt take 6 days to respond to an already open case,0.0
usairways are you guys awake need help with delayed flight to get protected on late flightr flight from phl,0.0
jetblue i cant i dont have acces to a phone rn my iphone broke  would rather change it now then late flightr,1.0
united i just want to contact someone with a question amp not be put on hold for 5 minutes in order to be hung up on or sent to the pet line,0.0
united is changing its mileageplus program winners and losers httptco38otlzak5d airline travel loyalty rewards,1.0
americanair my flight has been delayed amp i cant talk reach anyone in customer service because of high call volume,0.0
jetblue whats your current checked bag price policy  i fly this coming week and couldnt find anything definitive,1.0
virginamerica at logan airport and waiting to checkin for my 9am flight checkin desk not open  why,0.0
" ""jetblue our fleets on fleek httptco46am1bsi2g""",1.0
usairways help flight cancelled flighted cant call because my phone doesnt work in europe please help says im booked want to confirm,0.0
united plus what about food and taxis,0.0
southwestair tried for vip live in the vineyard but yr site went down by the time i got in 2 redeem pts those packages gone,0.0
southwestair secondly we did not begin boarding on time despite our aircraft being present and deplaned thus we left over 30 min late flight,0.0
united calling that number was useless heading to the airport now to pick up my bags this whole situation seems like a real joke,0.0
americanair if i want to change my flight due to weather conditions in dallas this weekend i should be able to cover change fee with miles,1.0
southwestair hi how do i add a flight to my account just created it,1.0
usairways how about checking the plane before having everyone board the plane pissed,0.0
jetblue kylejudah new stroller the travel credit doesnt help cover the cost of a new stroller your crew ruined it and therefore should,0.0
americanair every time i try to call it tells me to try again late flightr and just hangs up,0.0
virginamerica partners with visa checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa,1.0
united i did and then she made me feel guilty because it was economy plus and i didnt pay for the extra leg room,0.0
southwestair i know it is hard to predict but how are flights from dallas to nashville tomorrow am,1.0
americanair airline trouble this winter amp not getting good customer service contact httptcoaqjn4hwnac  we negotiate wcompanies foru,0.0
united why doesnt my daughter booked with my gold member miles get on the upgrade list for her flight tomorrow,0.0
united ua flight 1247 sfo to lax took my carry on at gate im group 2 overhead bins are empty,1.0
southwestair today you sporadically changed my flight departure 5 times amp left two hours late flight uncharacteristic of u httptcotxhyj40llg,0.0
united considering im now stuck in newark with virtually sleep in 30 hours i doubt it  hope car rentals are available,0.0
americanair dfwairport you 2 together are the best part of flying,2.0
usairways been on hold for over and hour now,0.0
americanair just tried calling got a high call volume at this moment message and then it said goodbye and hung up...,0.0
united you guys have such big hearts keep up the good work,2.0
americanair dfwairport  have been trying to get canx flight resched since noon  got 2 call backs but call disconnects as soon as i answer,0.0
americanair since we are leaving tomorrow to miami can you do one thing right and deliver the bags to the airport,0.0
jetblue your hold music sucks,0.0
jetblue you found my camera  thank you  you rock,2.0
usairways you have to be crazy treated my mom very poorly not happy usairwaysfail,0.0
united wanted to but you cancelled flightled my tickets they were too special i guess even for united,0.0
united  group 2 line gets longer every week almost no one left for groups 35 anymore time to make explorer card group 3,1.0
southwestair its not letting me dm you ,0.0
united trying to reach him for the number at last they have him on standbye and gave him 1 meal voucher for a potential 2 day standbye,0.0
united thanks for the reply to clarify the airfare is similar to your likely intended peer group the 3 beer charge however is not,0.0
united no but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business,0.0
americanair thats why im asking for exception staffer moving last minutewere a nonprofit amp losing 400we just want to change ticket,0.0
usairways flight 500 out of seattle has 10000lbs too much fuel and no water for the lavoratories nice job guys  est 40min behind now,0.0
americanair does it show that we are on the same plane,1.0
united for a fee,1.0
thanks to southwestair  i get to go to the destinationdragons imaginedragons show this weekend in utah velourlive   thankyou,2.0
united thanks for causing us to miss our connection and now a 6hour delay flydeltanexttime,0.0
usairways americanair flight sf to nyc only made it to philly ur customer service is telling me no refund for the last leg offensive,0.0
americanair anything you can do,1.0
usairways this is ridiculous  i have a 600 am flight and two hours of rest wasted,0.0
americanair i changed my own flight to tonight why couldnt aa do that on my behalf instead of a flight tomorrow poor effort all around,0.0
united personal device entertainment system is great but with app crashing every 1015 mins im glad its free for now,0.0
southwestair male flight attendant on flight 3913 from orlando to indy was amazing he needs a raise  had the best experience with him,2.0
united why dont you ever print my known traveler number on my ticket because of this i never get to use the tsa prescreen i paid for,0.0
usairways 2 hours and 7 minutes just want to know im still in the queue,0.0
jetblue thanks to you customers like me stay loyal from check in to landing,2.0
southwestair no thanks after those 25 minutes someone did eventually help us and took care of it,0.0
usairways now has stranded is in miami without updating any of the departure boards and once they cancelled flightled the flight there was no,0.0
"""united rikrik what made you come to this can we help you with anything jp"" the service just hasnt been great",0.0
americanair you have a company policy that refuses employees to speak to other employees over the phone interesting,0.0
southwestair it was this one but looks like the problem is now fixed httpstcocfi1e3kxa9,0.0
usairways thanks for cancelled flighting flight 5097 today now missing required training not a happy customer,0.0
virginamerica wow this just blew my mind,2.0
virginamerica are there any plans for a short haul airline in europe would defiantly fly with you guys ,2.0
usairways now you dont know where my luggage is  seriously,0.0
united you should change your name to united incompetence no flight until monday have to take a 7 hour drive now to get to my flight,0.0
jetblue  any effort to fix your points system 11 days and a call to customer service and still no account update chasing points is no fun,0.0
united trying to change a flight booked just 6 hours ago but online system is charging me 200 fee per passenger could you please help,0.0
united thanks for updating me about the 1 hour delay the exact second i got to atl ,2.0
united no your service here pretty much ruined my day but thanks for the weak attempt,0.0
southwestair thanks for taking it up a notch leinenkugels craftbeer goodflight  norfolk... httptcotgsljjn6g0,2.0
the end rt usairways reminder from 228 we'll be tweeting from americanair you should join us httptconbpcjcpew9,1.0
jetblue awww thank you b6 glad to hear it  made my day amp one last question do you have any idea what tail is operating flt 606 2maro ,2.0
united we waited 40 min for our bags after a 45 min flight nomorecheckedbags,0.0
virginamerica do you have an application for ios was looking and only saw virgin mexico  lt3,1.0
southwestair tv stream means i get to spend my flight watching 1999 and 2011 womens world cup finals throwback bestflightever,2.0
usairways you are amazing you are the best follow me please and i follow you back,2.0
jetblue thank you fingers crossed,2.0
jetblues new ceo seeks the right balance to please passengers and wall   times colonist httptconzdxrvszwv,1.0
americanair yepfiled a claim at heathrow yesterday we were promised a call this morning with an update but got nothing,0.0
"oh yeah rt jetblue our fleets on fleek httptcoftv2nwwqf1""",1.0
usairways customer service is dead last wk flts delayedcancelled flighted bags lost 4 days last nt flt delayedcancelled flighted  no meal voucher,0.0
southwestair everyones flights who were cancelled flightled today deserve 1,0.0
americanair i made my flight but then still had no update emails when i landed no info ever sent on that or second flight losing my biz,0.0
"""jetblue our fleets on fleek httptcotejrn09tfw"" noooooooooooooooooo",1.0
"americanair 

late flight from phoenix gave ticks away when arrived chicago held bags hostage chicago rented van drove to toledo 5 hr drive",0.0
united q just purchased ticket to hawaii for trip in late flightmarch does this mean we will acquire miles based on price or distance flown,1.0
americanair for the love of all that is holy if your automated phone system is going to give like 8 options give numerical shortcuts,0.0
jetblue i flew on a flight about 3 months ago me and my girlfriend got away with having sex in a restroom is it allowed now,1.0
americanair boeingairplanes i really would love to experience first class on that planelooks stunning,2.0
southwestair horrible experience passenger of size was 13 in my seat offered 50 voucher for this by christine c httptco1xzrk66wvq,0.0
jetblue we want room and food allowances agents are refusing to give us vouchers to use at rooms we book ourselves,0.0
usairways any updates on flight 5202 from orf to phl no one at gate  ,0.0
"virginamerica
wjere is our luggage so slow at lax",0.0
jetblue you definitely will,2.0
usairways dcagthpn u r prof hostage takerswe stood on bus 2 plane for 25 minnow sitting on plane with no mvmt amp 1 announcement 4 gt hour,0.0
jetblue are you ever looking for interns ,1.0
americanair derekc21  to my surprise  ba doesnt  have  me registered in the system  i was getting hopeful  lets step it up  okay ,0.0
united flight 433 lets go you look like clowns no one is giving up 1st class for 500,0.0
usairways after a grt flight to phx last week  tonight was terrible 25 hours taxing and you give us water and crackers to compensate,0.0
usairways eh it happens i think ill survive  thanks,1.0
virginamerica do you miss me dont worry well be together very soon,1.0
southwestair thanks a ton,2.0
jetblue whats going on with flight 669 and how many free trips will i get from this epic inconvenience anku httptcopeuc0bmij9,0.0
jetblue phew did it pant wheeze httptcozpz78poeon,1.0
usairways new marketing song httpstcof2lfulcbq7 let us know what you think httptcowbhbljjks7,1.0
usairways saddens me that my first tweet  ever  has to be a complaint about customer service,0.0
usairways nburnside26  u hate delays too  but u have her  amp are holding her hostage  goingforgreatnessfail,0.0
united thanks for not letting me switch flights bc i had a checked bag then cancelled flighting my flight forcing me to take another 3 hrs late flightr,0.0
united yes please i am newly married and trying to update my last name on a preexisting international flight it seems so easy but,0.0
americanair 3 months of straight travel ahead time to find new airline,0.0
usairways commitment to excellence is 2b praised can get you to the wrong city 2 days late flight or the right one 3 days late flight customerservice,0.0
united on ua3785 tonight and told delayed due to late flight crew no idea where crew coming from your staff unhelpful any ideas,0.0
united missing this wedding because of these delays would not be cool,0.0
usairways cltdouglas slowest baggage claim ever,0.0
southwestair is flight 3113 omagtden on 221 actually cancelled flightled been on hold for over an hour and your website says conflicting messages,0.0
united how come a 27 shuttle bus from lga to ewr has electrical power outlets but our new airbus interiors do not whyjeff,0.0
usairways flt 419 2 hrs late flight baggage  1 more hr now i see they delivered my suitcase wet inside amp out nothappy,0.0
jetblue any news on flight 122 pbiboston delay can we wait to arrive at airport based on reported 1 and 12 hour delay,0.0
united you know what would be awesome providing us with complimentary entertainment on your flights especially those longer than 6 hours,1.0
jetblue im on flight and no booze being served 30 min in what gives lostrevenue angryandsober bachelorpartymishap,0.0
jetblue no not boarding order someone boarded with service animal which a member of my party was allergic to and because the flight was,0.0
jetblue you bet,2.0
usairways i really appreciate there not being an easy way to get another flight when mine has been delayed over 2hrs for mechanical reasons,0.0
united 20 minutes plus to get through to a two after the first one transferred me to a spanish hotline is unacceptable,0.0
usairways should give me free baggage for this mess,0.0
united what time should i arrive at the airport for my 615 am domestic flight out of san diego,1.0
americanair dotnetnate two hour wait for exps as i sit on a jfk phx flight because us computers are down any shot at an lax flight,0.0
southwestair received awesome phone help from jim today helped me switch around flights booked with points,2.0
jetblue lets just say idontwannalivewithoutyourlove httpstcoi9kcgaxxfa itwasminttobe bestinclasssocial thankyou travel business,1.0
united so you told me to go knowing what the issue was only for me to go there and find out that you won't fix it,0.0
jetblue ccndjp i can send a screen shot of the systems error if an email address is provided,0.0
united waiting on plane so long missed my connecting flight it left early thats the last flight out tonight help httptcohbsj2sf17h,0.0
americanair flight 1388 tomorrow 515 am status please thanks,1.0
united 3 hour delay plus a jetway that wont move this biz traveler is never flying u again,0.0
jetblue i am here  what is your resolution,0.0
jetblue you just directed me to your mobile website where is the direct link get it together,0.0
united why deice before taxing maybe it makestoomuchsense  shouldhaveflowndelta unitedsucks delta southwestair americanair,1.0
usairways according to wtop dca seems to be recovering nicely from yesterdays snow so why are you cancelled flightling flights out there,0.0
southwestair i have the dm from southwestverity if needed,1.0
united and yet we still havent left yet and i cant watch my prepaid directtv firstworldproblems,0.0
united youre my early frontrunner for best airline oscars2016,2.0
united bullying in the workforce not ok get gate agents 2 work as a team 2 against 1 is never cool delays flights unitedairlines,0.0
southwestair poisonpill76 im in same boat 8am flight to jacksonville get me out of here,0.0
sb5551 sounds like  usairways should have planned better since this weather was no surprise completely unacceptable wait times,0.0
southwestair thanks for your attention ive been flying southwest for 3 years and havent had this issue in the past,2.0
jetblue no they offered the flight 419 i paid then they changed itthis is the 2nd  time you have done this to me ruins cruise plans,0.0
united 2 hour flight from fll to ewr 1242 now waiting 1 hour plus for bags no sign yet what gives,0.0
americanair at lax amp just got off the phone wreservations every flight thatd get me to bos before 11 am tmrw is apparently unavailable ,1.0
usairways whos in charge of your company my wife missed her connection to ca you sent her luggage on another flight,0.0
southwestair hi i just saw a black history month commercial on tv amp im excited in support of this monthwill you all grant me 1 free trip,2.0
americanair sent,1.0
