,airline_sentiment,text
162,0,virginamerica why dont any of the pairings include red wine only white is offered  redwineisbetter
163,0,virginamerica is the website down
164,0,virginamerica  your site seems a little wonked right now may want to have a look tried on two browsers no css httptco8qsqmm7kf2
165,0,virginamerica im disappointed that the agent at the designated silver status check in line dullesairport closed to assist all pasengers
166,1,virginamerica plans to include austin to its dallas route  topnews arab emirates httptcoaqzwecokk2
167,0,virginamerica is it normal to receive no reply from central baggage baggageissues smh
168,0,virginamerica at logan airport and waiting to checkin for my 9am flight checkin desk not open  why
169,1,virginamerica to jump into the dallasaustin market  dallasnews httptcoewwgi97gdx
170,1,virginamerica beats eps views takes on southwestair va luv  investors business daily httptcoflwmgdahxu
171,1,virginamerica lister to my show my on monday 1230 130
172,1,virginamerica to begin dallasaustin flights in april  889 ketr httptcossuvwwkyhh
173,0,virginamerica congrats you just got all my business from ewr to sfolax fuck you united fl1289 sfoewr was the clincher
174,0,virginamerica  i applied over 2 weeks ago havent heard back and im flying this week disappointed
175,1,virginamerica id love to know what your policy is for damaged luggage
176,2,virginamerica thank you for the follow
177,0,virginamerica  too many apologies you r the worse airlines dont even respond to your cudtomers
178,0,virginamerica shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me
179,1,virginamerica ttinac11 i dm you
180,1,virginamerica can you please have flights in  sjc  i have no choice but to fly southwest to vegas 
181,0,virginamerica too bad you say it takes 10 to 14 days via your confirmation email when i inquired after 3 weeks you claim 6 to 8 weeks
182,0,virginamerica flight from bos gt las tomorrow was cancelled flightled no notification wait times are 1 hour will you rebook on another airline
183,2, rt virginamerica you've met your match got status on another airline upgrade restr httptcorhkamx9vf5 httptcopyalebgkjt
184,2,virginamerica only way to fly elevate gold
185,1,virginamerica if only you guys had flights from cmh
186,0,virginamerica a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever
187,0,virginamerica  for all my flight stuff wrong and did nothing about it had worst flight ever
188,1,virginamerica having an issue finding a missing item on a plane can you help me find which airport my plane headed to next
189,2,virginamerica you will match my americanairlines status cool
190,1,"""virginamericayouve met your matchgot status on another airline upgrade  httptcoh952rdktqy"" asarcoesar  "
191,0,virginamerica trying to book a flight with you guys and your website wont let me about to lose my business
192,0,virginamerica you suck
193,2,virginamerica thanks
194,0,virginamerica just dmd same issue persisting
195,0,virginamerica because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids
196,0,virginamerica trying to book a flight amp your site is down 
197,0,virginamerica you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything
198,0,virginamerica you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed  expected better
199,2,virginamerica i love your guys song were dancing to it for our high school dance revue
200,0,virginamerica your website is down and im trying to check in
201,2,virginamerica done thank you for the quick response apparently faster than sitting on hold 
202,1,virginamerica nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me
203,2,virginamerica cool picture of another virginamerica plane off our wing what a site httptco5b2agfd8c4
204,2,virginamerica keep up the great work 
205,2,virginamerica my goodness your people love field are amazing under pressure from texas beatstheothers in crisis please fly me to ny
206,2,virginamerica thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously
207,1,virginamerica can you please get me to the new york area before monday afternoon
208,2,virginamerica thanks so much for the awesome support you guys rock
209,0,virginamerica seats in row 8 dont recline should mention that on your website soreback
210,0,virginamerica flight 404 delayed 2 hours in la due to mechanical problems handle like pros but you could have tossed us a free drink
211,0,virginamerica why cancelled flight flights today no precipitation to be scared of  
212,2,virginamerica twitter team you guys killed it for rescheduling me asap thank you
213,0,virginamerica you guys charged me 100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal
214,0,virginamerica can't access your website from safari on iphone 6 seems to work on mac and ipad need iphone to add passbook
215,1,virginamerica on ipad and iphone clicking the checkin link in the email i received at 24hrs before flight
216,0,"virginamerica your mobile site is broken shows 
headerelevateusernumofpointsavailable  0  number points wont let me checkin"
217,0,virginamerica i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin
218,0,virginamerica why cancelled flight flight vx413 one sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule
219,0,virginamerica i did it but there was a problem in the link from the email for checkin thanks
220,0,virginamerica had to change to another airline to get to dc today  why is united able to land in dc but not you cost me 800 ugh
221,0,virginamerica i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one 
222,2,virginamerica when are you putting some great deals from pdx to las or from las to pdx show me your love httptcoeniqg0buzj
223,2,virginamerica wish i can afford to fly with you next friday  going back home love everything  about your airline
224,0,virginamerica  how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad
225,1,virginamerica it's just a bug report guys
226,0,virginamerica hold times at call center are a bit much
227,2,virginamerica like httptcovpqem31xuq
228,0,virginamerica site down help
229,2,virginamerica you have the best flight attendant ever httptcopxdel1nq3l
230,2,awesome rt virginamerica watch nominated films at 35000 feet meetthefleet oscars httptcodnstitrzwy
231,2,virginamerica thanks so much
232,0,virginamerica trying to reset my password email never arrives help
233,2,virginamerica the only airline based in silicon valley disruption fcmostinnovative incubator  fastcompanys httptcowu3lbcncr9
234,2,virginamerica very nicely done 
235,2,virginamerica i'm looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink 
236,0,virginamerica what is the reason  for the delay of the departure of vx 413 from jfk this afternoon
237,0,virginamerica is todays flight from palm springs ca to jfk in ny cancelled flightled
238,2,virginamerica hahaha virginamerica you guys are amazing i love you guys
239,2,virginamerica sounds like fun 
240,1,virginamerica any updates on flight 413 from jfk gt lax
241,1,virginamerica spruce moose
242,0,virginamerica the css on your site is a 404 right now please fix site unusable
243,0,virginamerica were on flight 910 vegas to boston today checked in online but our bag count didnt register can i fix that somehow
244,2,virginamerica classiq luv virgin america greetingz
245,0,virginamerica hi im trying to do checkin but the website is not working i tried 3 different browsers and the problem continues
246,2,virginamerica thanks for your great customer service today amp for helping me get all my travel sorted out
247,2,virginamerica thanks guys sweet route over the rockies airplanemodewason
248,2,virginamerica love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee
249,0,virginamerica  the passenger in 7d flt 338 that assaulted me shouldnt have flown i trust hes banned crew filed report to faanews
250,0,virginamerica current bug on website shows 'select departure city' when selecting destination city httptcosllyibe2vq
251,0,virginamerica luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help
252,2,virginamerica thank you for the easy itinerary shift for impending weather quick painless amp free
253,1,virginamerica if youd love to see more girls be inspired to become pilots rt our free woaw event march 28 at abq httptcorfxlv1kgdh
254,2,virginamerica thanks good times there and back vodkatonics the entire flightsfo
255,1,virginamerica beats expectations shares take off  santa cruz sentinel httptcoqm9dqbai6g
256,1,virginamerica any plans to start flying direct from dal to las
257,1,virginamerica big lovegratitudempower w httptco1agr9kncpf werin oscars2105 vipswagbags avalonhollywood httptcoybmbgs0dhn
258,2,virginamerica youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up
259,0,virginamerica requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member
260,1,virginamerica grand budapest hotel oscarscountdown
261,1,virginamerica this is what you missed newsvp next trip to the 407
262,0,virginamerica wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience
263,0,virginamerica there is something wrong with you website in safari iphone
264,2,virginamerica thanks for gate checking my baggage on your full flight dfwlax 883 and giving me early boarding too sweet
265,0,virginamerica already checked in so the page expired x
266,0,virginamerica boo for a not refunding a seat upgrade fee i did not want to buy in the first place
267,1,virginamerica shares rise on q4 financial results  usa today httptcolfs4pefe6y
268,1,virginamerica adds pillows instead of lieflat seats in first class arms race httptcorgywjbbhm4
269,2,virginamerica i see what you did there 
270,1,virginamerica way to take advantage of mayweatherpacquiao 
271,1,virginamerica you know im flying virgin for the fight mayweatherpacquiao
272,2,virginamerica your inflight team makes the experience amazing
273,2,virginamerica cutest salt and pepper shaker ever just when i think you guys cant get any better you just do httptcovc6keulg2j
274,0,virginamerica moved my seat with no notice better seat is cabin select not behind the row i selected disappointed
275,1,virginamerica shares up on 4q results  iol httptcoxz6qeg3nef
276,2,virginamerica fav airline
277,2,virginamerica we have a hot female pilot sweet dca to sfo 
278,1," when are you guys going to start flying to paris virginamerica lizautter youre welcome"""
279,1,virginamerica what is your policy on flying after surgery  i am still waiting for answer so i can tell me doctor
280,0,virginamerica already contacted central baggage amp sent dm renttherunway is charging me for the dress that was in the lost suitcase help
281,2,virginamerica thank you
282,0,virginamerica is there anything going on with the website ive been getting a lot of errors past 30 minutes
283,1,virginamerica i think i left something on the plane yesterday who do i callah
284,1,virginamerica i need you to follow back in order to dm
285,1,virginamerica need to start flying to kciairport   
286,1,virginamerica they told to check with the airline regulation first so that is why i contacted you
287,0,virginamerica virginatlantic i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits
288,0,virginamerica husband and i ordered three drinks via my screen and they never came awesome
289,0,virginamerica soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence 
290,1,virginamerica what is your policy on flying after surgery
291,1,virginamerica posts second consecutive fullyear net profit  atwonline httptcotvb5zbzvhg
292,0,virginamerica funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this
293,2,virginamerica would love to do more for virgin just like i do for gopro
294,1,virginamerica results handily exceed forecasts  nytimes httptcogonmrwem6i
295,1,virginamerica i applied for a position in flylaxairport and i was wondering if you guys received my application
296,1,virginamerica achieves a second year of profitability despite revenue pressure   capaaviation httptcozsuztnaijq
297,1,virginamerica gives positive outlook but sees increased competition  reuters httptcojeu7od3eyj
298,0,virginamerica im trying to check into my 1050am ct flight tmm on the desktop website and its not working some sort of caching bug sos
299,1,virginamerica weather delays gt next few weeks  jfk bos dca
300,1,virginamerica madbee95 check the website before you go to the airport
301,0,virginamerica do you guys know your checkin links from emails are broken httptco2npxb6obmr
302,1,virginamerica pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about 5 degrees amp wthe windchill 8
303,2,virginamerica loved it cant wait for mondays return flight mostly just to watch the inflight safety video again sorrynotsorry
304,0,virginamerica lost my luggage 4 days ago on flight vx 112 from lax to iad amp im calling every day no responseplease give me back my stuff
305,0,virginamerica the flight booking problems section of your website seems to be broken on chrome might wanna look into that
306,2,virginamerica hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more
307,2,virginamerica i mean probably inappropriate while on board but its on
308,2,virginamerica happy to spend the day together lets do this
309,1,virginamerica is saving my sanity right now httptcoeltboljul9
310,1,virginamerica missed my flight how does standby work
311,2,virginamerica they were very understanding and helped me out  thx comps
312,1,virginamerica brought it all the way across the country today i see httptcotkauygcpms
313,2,virginamerica thank you i absolutely will 
314,0,virginamerica looks like a broken link for your assets httpstcooardjjgrrd
315,1,virginamerica are you ready lets say it together noooo turbulence today 
316,0,virginamerica the manage itinerary section of your website seems to be broken for me httpstco2pujvcelng
317,0,virginamerica cant check in your site looks like this every time it loads httptcokacy2awdbw
318,1,virginamerica can u help this  freyabevanfund needs urgent treatment in2y old battling cancer could u help with flights freyasfund
319,1,virginamerica may start service to hawaii from sanfrancisco this year httptcoypo7nyprzl biztravel
320,0,virginamerica other carriers are less than half price for a round trip fare i am stunned httptcoukdjjijrow
321,0,virginamerica wtf is happening in pdx late flight march such that one way from sfo is 550
322,1,virginamerica add dtw and im sold
323,2,virginamerica how about some free drinks on the flight back for the free promo
324,2,virginamerica ssal thanks
325,1,virginamerica momma i made it 
326,1,virginamerica please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am need it returned call 9143290185
327,1,virginamerica help i was on  flight  27 from jkf tonight seat 7c left portfolio need it back
328,1,virginamerica shrinerack seattle bound wifey got me the duffle for vday shes a keeper holla httptcojloiblnair
329,0,virginamerica my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage
330,1,virginamerica debbie baldwin gave a rockstar performance of the safety demo this evening on vx919 las2sfo bestcrew sherocks
331,2,virginamerica thanks
332,2,virginamerica thanks for taking care of suuperg on her flight rockstars travel
333,2,virginamerica thanks for the lovely soft views travel san to sfo httptcocnctl7g1ef
334,0,virginamerica i requested a mileage challenge for status several weeks ago online but havent heard back how do i get help with this
335,0,virginamerica just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying 
336,1,"virginamerica many thanks for the follow
ourprincess freyasfund usa bandie 
looking for any help

 httptcoujfs9zi6kd"
337,1,virginamerica nice lofty view flylaxairport silverstatus httptcof4tp0dawbd
338,0,virginamerica applied for status match on feb 1 got confirmation email same day still no news though you guys have dropped ball late flightly 
339,1,virginamerica is my new go to airline
340,1,"virginamerica virginatlantic gma americanair 
can you help ourprincess in need of some help in usa 
 httptco778aztdaer"
341,2,virginamerica i adore you and am so looking forward to my flight to austin in two weeks
342,2,virginamerica i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience
343,1,virginamerica flight booking problems flight to uphold my status match  do taxes on ticket count as earned status points  statusmatch virginamerica
344,0,virginamerica trying to checkinbut looks like your site is down
345,0,virginamerica spending my birthday night with you daldca get me home
346,0,virginamerica sent a couple messages to the email you provided but to no avail will try again next year cheers
347,2,virginamerica first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline
348,0,virginamerica seriously though will there not be direct flights from sfofll in may
349,0,virginamerica its fine already done with my purchase but you should try it just go most of the way through then go back 3
350,0,virginamerica not really the experience i was hoping 4 i ws forced 2 check in a small carry on w nothing but empty cabin space on board
351,0,"virginamerica
wjere is our luggage so slow at lax"
352,1,virginamerica to jump into the dallas austin market httptcoszr0pioa21
353,0,virginamerica i spoke with a representative that offered no solution i am a loyal customer who flies on virginatlantic as well
354,0,virginamerica i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email
355,0,virginamerica what happened to direct flights from sfofll looking in may only see connecting help dontdothistome
356,1,virginamerica can you help left my blazer in kooples jacket bag at 3rd row second seat from right gate 36 t3 lax flight to sfo
357,1,virginamerica partners with visa checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa
358,2,virginamerica just promoting the product is all had a problem with southwest and recommend noneother than the best httptcotfanxbh1cf
359,2,virginamerica love you guys but pls get some direct routes las to aus
360,1,virginamerica i would like help with some flights please
361,1,"bruh ""virginamerica giannilee turn down for what vxsafetydance"""
362,2,virginamerica of course i work for virginatlantic and im obsessed with the entire virgin family
363,2,virginamerica ok first time flying with you tonight 
364,1,virginamerica digging the swanky pink mood lighting during the flight from nyc to sfo  just needs a cabaret singer  think about it
365,1,virginamerica done but i need the receipt asap could you please help 150219000114
366,0,"virginamerica i have 2d and 3d embossed badges and patches superior to the ones you are currently using 
httptco3fq3xelbon"
367,0,virginamerica on vx399 from jfk to la  dirty plane  not up to your standards
368,0,virginamerica on flight vx399 headed to la from jfk  dirtiest va plane i have ever been on sad for a great airline
369,2,virginamerica got it squared away someone picked up as soon as i tweeted should have tweeted sooner 
370,0,virginamerica your avis rental continue button doesnt work on your website to book car tried 4 times on phone  this sucks
371,0,virginamerica delayed to1030
372,0,virginamerica currently in minute 10 of being on hold with cust service do i need to do anything to add a lap child to my reservation
373,1,"virginamerica adds pillows instead of lieflat seats in first class arms race 
httptcosfjduahx9z by skift"
374,2,"""virginamerica karinslee of course have fun celebrating"" thanks happy chinese new year"
375,2,virginamerica  flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys
